INFO:2026-01-21 15:13:25,987: Epoch [1/500], Step [10600/35359], Mel Loss: 0.52205, Gen Loss: 7.77910, Disc Loss: 4.03178, Mono Loss: 0.02922, S2S Loss: 3.60912, SLM Loss: 2.05590
INFO:2026-01-21 15:14:10,452: Epoch [1/500], Step [10700/35359], Mel Loss: 0.53992, Gen Loss: 9.64715, Disc Loss: 3.21555, Mono Loss: 0.02243, S2S Loss: 3.33700, SLM Loss: 2.26537
INFO:2026-01-21 15:14:54,512: Epoch [1/500], Step [10800/35359], Mel Loss: 0.52891, Gen Loss: 12.47814, Disc Loss: 2.68114, Mono Loss: 0.01726, S2S Loss: 3.77298, SLM Loss: 2.48970
INFO:2026-01-21 15:15:39,218: Epoch [1/500], Step [10900/35359], Mel Loss: 0.51440, Gen Loss: 8.94072, Disc Loss: 3.16105, Mono Loss: 0.01654, S2S Loss: 4.22213, SLM Loss: 1.95065
INFO:2026-01-21 15:16:24,816: Epoch [1/500], Step [11000/35359], Mel Loss: 0.52875, Gen Loss: 8.30248, Disc Loss: 3.36610, Mono Loss: 0.04087, S2S Loss: 3.95129, SLM Loss: 1.98113
INFO:2026-01-21 15:17:09,630: Epoch [1/500], Step [11100/35359], Mel Loss: 0.52562, Gen Loss: 8.68686, Disc Loss: 3.30984, Mono Loss: 0.04851, S2S Loss: 3.76039, SLM Loss: 2.19073
INFO:2026-01-21 15:17:53,660: Epoch [1/500], Step [11200/35359], Mel Loss: 0.53499, Gen Loss: 7.34965, Disc Loss: 4.33094, Mono Loss: 0.02363, S2S Loss: 3.44507, SLM Loss: 2.13777
INFO:2026-01-21 15:18:38,459: Epoch [1/500], Step [11300/35359], Mel Loss: 0.51753, Gen Loss: 7.77069, Disc Loss: 3.37954, Mono Loss: 0.07348, S2S Loss: 3.89685, SLM Loss: 2.28586
INFO:2026-01-21 15:19:23,134: Epoch [1/500], Step [11400/35359], Mel Loss: 0.51194, Gen Loss: 6.70731, Disc Loss: 4.01286, Mono Loss: 0.12742, S2S Loss: 3.75280, SLM Loss: 2.20244
INFO:2026-01-21 15:20:07,814: Epoch [1/500], Step [11500/35359], Mel Loss: 0.51795, Gen Loss: 7.96313, Disc Loss: 3.69812, Mono Loss: 0.07633, S2S Loss: 4.43493, SLM Loss: 2.07618
